"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,65.248665,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,66.411797,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,66.549287,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,67.055996,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,67.714113,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,68.303361,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1970","1970","USD","US Dollar","0","Units",,,25.305958,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1971","1971","USD","US Dollar","0","Units",,,26.437249,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1972","1972","USD","US Dollar","0","Units",,,27.746943,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1973","1973","USD","US Dollar","0","Units",,,29.552664,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1974","1974","USD","US Dollar","0","Units",,,31.189036,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1975","1975","USD","US Dollar","0","Units",,,30.761906,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1976","1976","USD","US Dollar","0","Units",,,32.659563,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1977","1977","USD","US Dollar","0","Units",,,34.014956,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1978","1978","USD","US Dollar","0","Units",,,35.189797,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1979","1979","USD","US Dollar","0","Units",,,37.006676,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1980","1980","USD","US Dollar","0","Units",,,37.709445,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1981","1981","USD","US Dollar","0","Units",,,37.930318,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1982","1982","USD","US Dollar","0","Units",,,37.77805,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1983","1983","USD","US Dollar","0","Units",,,38.111703,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1984","1984","USD","US Dollar","0","Units",,,39.562281,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1985","1985","USD","US Dollar","0","Units",,,40.363743,,
"ITA","Italy","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1986","1986","USD","US Dollar","0","Units",,,41.048174,,
